,County Code,County,# Days with AQI,Good,Moderate,AQI Maximum,AQI 90th Percentile,AQI Median,# Days O3,# Days PM2.5
0,36001,Albany ,366,307,56,143,55,38,178,187
1,36005,Bronx ,366,291,74,108,61,39,175,157
2,36013,Chautauqua ,363,338,25,93,47,35,351,12
3,36027,Dutchess ,365,356,9,87,44,33,331,.
4,36029,Erie ,366,317,47,155,52,37,217,139
5,36031,Essex ,366,351,15,80,47,38,359,6
6,36041,Hamilton ,361,358,3,54,44,34,357,.
7,36045,Jefferson ,360,345,15,90,44,33,360,.
8,36047,Kings ,365,338,27,77,47,23,.,365
9,36055,Monroe ,366,323,43,80,52,36,232,134
10,36059,Nassau ,364,347,17,72,41,20,.,351
11,36061,New York ,366,311,54,108,56,37,218,146
12,36063,Niagara ,359,340,19,87,46,34,359,.
13,36065,Oneida ,349,334,15,78,36,16,.,349
14,36067,Onondaga,364,336,28,74,48,35,274,90
15,36071,Orange ,366,342,24,97,47,36,253,113
16,36075,Oswego ,359,349,10,58,44,33,359,.
17,36079,Putnam ,356,350,6,64,44,32,314,.
18,36081,Queens,366,298,65,140,61,38,210,109
19,36085,Richmond,364,319,43,108,52,35.5,205,159
20,36087,Rockland ,366,340,26,93,48,34,297,69
21,36089,St. Lawrence,365,295,56,118,69,14,.,.
22,36091,Saratoga ,319,315,4,61,44,33,319,.
23,36101,Steuben ,365,356,9,79,44,34,304,61
24,36103,Suffolk ,366,309,51,133,59,37,289,77
25,36109,Tompkins,364,359,5,64,44,34,364,.
26,36117,Wayne ,327,305,22,80,46,34,327,.
27,36119,Westchester ,363,327,35,105,50,36,275,88
