Total Incidence Avg Ann Cases,Total Incidence Rate Per 100000,Males Incidence Avg Ann Cases,Males Incidence Rate Per 100000,Females Incidence Avg Ann Cases,Females Incidence Rate Per 100000,Total Mortality Avg Ann Cases,Total Mortality Rate Per 100000,Male Mortality Avg Ann Cases,Male Mortality Rate Per 100000,Female Mortality Avg Ann Cases,Female Mortality Rate Per 100000,County
41482.4,442.5,19903.6,484.9,21578.8,417.9,12537.6,132.5,6128.0,156.9,6409.6,116.8,New York
934.6,9.9,610.4,14.6,324.2,6.2,202.4,2.1,140.2,3.4,62.2,1.1,New York
324.8,3.4,232.4,5.7,92.4,1.7,237.8,2.5,171.4,4.3,66.4,1.2,New York
982.0,10.5,563.2,14.0,418.8,7.9,440.6,4.7,260.0,6.7,180.6,3.3,New York
3522.4,37.7,1807.0,44.7,1715.4,32.4,1195.4,12.6,588.4,15.1,607.0,10.8,New York
2471.0,26.4,1221.4,30.5,1249.6,23.4,976.6,10.3,468.6,12.0,508.0,9.0,New York
1051.4,11.3,585.6,14.2,465.8,9.0,218.8,2.3,119.8,3.1,99.0,1.8,New York
1085.0,11.1,760.0,17.7,325.0,5.9,669.2,6.9,448.8,10.7,220.4,4.0,New York
1278.8,13.5,616.6,15.3,662.2,12.0,993.2,10.4,473.8,12.0,519.4,9.3,New York
269.2,2.8,212.0,5.1,57.2,1.1,85.0,0.9,68.2,1.7,16.8,0.3,New York
4389.4,46.4,2215.0,55.4,2174.4,40.1,2447.0,25.8,1301.6,33.2,1145.4,20.6,New York
918.6,9.9,506.6,12.8,412.0,7.9,96.6,1.0,58.8,1.5,37.8,0.7,New York
,,,,6278.2,124.7,,,,,1029.2,19.2,New York
,,,,430.0,9.0,,,,,129.0,2.5,New York
,,,,1665.8,31.3,,,,,381.4,6.9,New York
,,,,584.2,11.5,,,,,341.4,6.3,New York
,,5330.6,124.0,,,,,705.4,19.2,,,New York
,,212.6,4.9,,,,,7.6,0.2,,,New York
1563.0,16.6,1156.2,29.8,406.8,7.4,326.6,3.4,219.8,6.0,106.8,1.8,New York
1359.2,14.5,868.8,20.9,490.4,9.4,232.4,2.5,154.4,3.9,78.0,1.4,New York
524.6,5.9,290.0,7.1,234.6,4.9,288.0,3.1,155.4,3.9,132.6,2.6,New York
1831.6,20.6,434.0,10.4,1397.6,29.7,52.8,0.6,18.4,0.5,34.4,0.6,New York
265.8,3.0,143.8,3.5,122.0,2.6,26.6,0.3,14.2,0.4,12.4,0.2,New York
1841.4,19.9,973.2,24.2,868.2,16.7,434.2,4.6,236.8,6.1,197.4,3.6,New York
